Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Source,EID
"English J.","Canvas and cosmos: Visual art techniques applied to astronomy data",2017,"International Journal of Modern Physics D","26","4", 1730010,"","",,,10.1142/S0218271817300105,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007467265&doi=10.1142%2fS0218271817300105&partnerID=40&md5=9c2a28fb946b539171f790ef1fed6611","Bold color images from telescopes act as extraordinary ambassadors for research astronomers because they pique the public's curiosity. But are they snapshots documenting physical reality? Or are we looking at artistic spacescapes created by digitally manipulating astronomy images? This paper provides a tour of how original black and white data, from all regimes of the electromagnetic spectrum, are converted into the color images gracing popular magazines, numerous websites, and even clothing. The history and method of the technical construction of these images is outlined. However, the paper focuses on introducing the scientific reader to visual literacy (e.g. human perception) and techniques from art (e.g. composition, color theory) since these techniques can produce not only striking but politically powerful public outreach images. When created by research astronomers, the cultures of science and visual art can be balanced and the image can illuminate scientific results sufficiently strongly that the images are also used in research publications. Included are reflections on how they could feedback into astronomy research endeavors and future forms of visualization as well as on the relevance of outreach images to visual art. (See the color online PDF version at http://dx.doi.org/10.1142/S0218271817300105; the figures can be enlarged in PDF viewers.) © 2017 World Scientific Publishing Company.",Review,Scopus,2-s2.0-85007467265
"Tolentino E.P., Lawson L.","‘Well, we’re going to kindergarten, so we’re gonna need business cards!’: A story of preschool emergent readers and writers and the transformation of identity",2017,"Journal of Early Childhood Literacy","17","1",,"47","68",,,10.1177/1468798415605570,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013229448&doi=10.1177%2f1468798415605570&partnerID=40&md5=fc5c26f5a20ac70276623f0a3ab6bb4c","Teacher research yields a plethora of insights about creating a meaningful curriculum for children. In this article, we describe the experience of preschool children who participated in Kindergarten Club, a space that afforded them opportunities to shift roles from being preschoolers to being kindergarteners. Kindergarten Club became a catalyst for engaging in a dialogue about kindergarten, experimenting with print and experiencing literacy learning. Within this context, preschoolers embarked on an investigation that centered around business cards. Business cards ignited interest on the part of preschoolers as they explored their potential for social networking and sharing information. The business card investigation evolved into a curriculum that sparked enquiries into the use of print as mediator for self-representation. Assisted by their teacher and members of the community, preschoolers engaged in collective action to create business cards that would bear imprints of their identity. In the process, young children used their writing abilities, proactively utilizing tools and resources to ensure that their business cards bore authentic representations of themselves. The article conveys the importance of listening on the part of the teacher and trusting children to take the lead in navigating their paths as literacy learners. Documentation in the form of artifacts, images and dialogue reveals how young children naturally incorporate emergent knowledge about literacy and their social worlds into their work as learners. The article provides a gentle reminder of how literacy learning is a joyful process that can be made meaningful and engaging by building upon children’s enquiries into the world. © 2015, © The Author(s) 2015.",Article,Scopus,2-s2.0-85013229448
"Gabinete M.K.L.","Semiotics in visual literacy pedagogy of junior high school teachers in the Philippines",2017,"Advanced Science Letters","23","2",,"1113","1117",,,10.1166/asl.2017.7511,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015725587&doi=10.1166%2fasl.2017.7511&partnerID=40&md5=7eeeea1f1ad4e718ebc7b0ecb614ddca","This study explored the English/Language arts teacher’s beliefs and practices in integrating semiotics in teaching visual literacy to Filipino junior high school students. Six secondary English/ Language arts classes in government and non-government schools were observed and their respective teachers interviewed regarding their attitude and conception of visual literacy and knowledge and application of semiotics in processing visual materials. Data were obtained through interview, observations, questionnaire and field notes. The study revealed that majority of teacher-participants were not formally trained in the processing of visual materials despite the use of technology-driven instructional materials on almost a daily basis, primarily as motivation activity and secondly, as a convenient replacement for a traditional text. Generally, teachers were observed to treat visuals, in particular films, as a written text where process questions dealt more on literary elements. Reports from survey revealed that teachers explain concept of semiotics and expressed as giving more importance to perspective and mood and less to lighting and social distance. Generally, all teacher-participants agree that creating meaning out of symbols or images open up opportunities for critical comments and intellectual discussions. However, analysis of images was not demonstrated in practice and concept of semiotics was implicitly demonstrated although the teacher seems unaware of it. © 2017 American Scientific Publishers All rights reserved.",Article,Scopus,2-s2.0-85015725587
"de Wet A.J.C.","An educational tool to encourage higher level thinking skills in the selection of images for fashion design mood boards: an action research approach",2017,"International Journal of Fashion Design, Technology and Education","10","1",,"16","25",,,10.1080/17543266.2016.1173236,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963800167&doi=10.1080%2f17543266.2016.1173236&partnerID=40&md5=eb27f1f7d9ef015470cb23cf1ed624ca","The primary argument of this paper arises from the need identified in fashion design education within a South African context for a shift in the focus of theoretical curricula content to convert from a diploma to a degree structure. This paper addresses this concern and reports on the baseline assessment of a devised and implemented tool to advance visual literacy thinking skills of undergraduate fashion design students, applied to the selection of images for mood boards. The inquiry adopted an action research design and obtained data from systematically documented reflective notes, completed student image analysis help sheets and a comparison of assessment results of mood boards created before and after the application of the tool. While assessment results indicate an improvement in the level of thinking skills of some students, surface learning was identified as an underlying challenge to address for refinement of the tool. Improved results, nevertheless, suggest that the strategic principles facilitated through the tool and the subsequent recommendations for refinement present a potential framework to underpin the visual conceptual design challenges of students for consideration in a degree structure. © 2016, © The Textile Institute and Informa UK Ltd 2016.",Article,Scopus,2-s2.0-84963800167
"León R.L., Carmona G.A.V.","The design classroom as a scenario of exploration between visual literacy and critical thinking [El aula de diseño como escenario de exploración entre alfabetidad visual y pensamiento crítico]",2017,"Kepes","14","15",,"173","194",,,10.17151/kepes.2017.14.15.7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023782648&doi=10.17151%2fkepes.2017.14.15.7&partnerID=40&md5=2f11b54bf25647342a51f2f298272cd6","Some of the results obtained in the research project ""Photography as a medium for the development of visual literacy"", in which different strategies were analyzed to enhance the development of visual literacy and critical thinking in students of the graphic design program of the Universidad Autonoma de Aguascalientes (Mexico), are shared in this article. Visual literacy refers to the ability people have for interpreting and generating images from the study of the components that constitute visual language, a competence that is a fundamental input in the practices within the design classrooms thus becoming a relevant item for the research and the qualification of design professionals. The article shows one of the laboratories implemented where the third-year students of the Graphic Design program, after reading the chapter The Medium is the Message by Marshall McLuhan, visualized one of the concepts of the text. The image that was hosted on a virtual platform for discussion in class Among the findings, the reader will know the synthesis of the analysis of four of the 27 images made which allows appreciating, among other things, that students need to develop argumentative skills related to the principles of critical thinking. In addition, in their projective exercise, the interpretation of concepts must be consistent with the active values of their environment, which enables the generation of products that meet the contextual requirements. As a conclusion, it is established that reflective decoding proper to visual literacy and procedures of interpretation and representation of knowledge, inherent in critical thinking, should be assumed as teaching-learning strategies in the courses that form the curriculum of the Graphic Design Bachelor's degree.",Article,Scopus,2-s2.0-85023782648
"Marzal M., Borges J.","Modelos evaluativos de Metaliteracy y alfabetización en información como factores de excelencia académica [Evaluative models of Metaliteracy and Information Literacy as factors in academic excellence]",2017,"Revista Espanola de Documentacion Cientifica","40","3", e184,"","",,,10.3989/redc.2017.3.1410,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028957884&doi=10.3989%2fredc.2017.3.1410&partnerID=40&md5=276a6c3b7bcb448555b85a5050bd3967","The paper analyzes the transformation of information literacy from the point of convergence of information competencies and communication competencies. This junction is needed due to the new context promoted by eScience, Social Web, collaborative learning, and the use of images in Education. Information literacy should be coordinated with visual literacy, data literacy, transliteracy and new media literacy, enabling the impact of metaliteracy in Education. The paper studies the definition of metaliteracy in Higher Education to demonstrate the need for designing an competence evaluation model in metaliteracy. The paper details the method of searching for references and presents a structure of categories for organizing a proposal for appropriate indicators, with a presentation of a proposal for a metaliteracy competency assessment model. © 2017 CSIC.",Article,Scopus,2-s2.0-85028957884
"Bonfiglio R.P.","Visualizing Literacy: Images, Media, and Method",2017,"Biblical Interpretation","25","3",,"293","319",,,10.1163/15685152-00253p02,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021786277&doi=10.1163%2f15685152-00253p02&partnerID=40&md5=3a3c2df831efe5b1cc3dcdfdf9be0bc0","While biblical scholars have long been interested in questions about textual literacy in the ancient world, relatively little attention has been given to the concept of visual literacy - that is, the extent to which images were produced and read as a type of language. The following article introduces this concept as it has been developed in recent work in visual culture studies and then offers a series of probes that attempt to assess the prominence of visual literacy in the ancient Near Eastern world. Though it is not possible to arrive at a precise rate of visual literacy, there is ample evidence to suggest that those who produced/commissioned art were highly concerned about questions regarding the readability of their materials and often privileged artistic motifs over epigraphic content in the design and implementation of certain mixed-media artifacts. These lines of evidence suggest that images functioned as a prominent vehicle of communication in the ancient world alongside, and sometimes in place of, text-based media. Research on visual literacy not only sheds new light on the ancient media contexts of the biblical world but also offers a more explicit rationale for how and why ancient images should be used in biblical interpretation today. © 2017 Koninklijke Brill NV, Leiden, The Netherlands.",Review,Scopus,2-s2.0-85021786277
"Dries D.R., Dean D.M., Listenberger L.L., Novak W.R.P., Franzen M.A., Craig P.A.","An expanded framework for biomolecular visualization in the classroom: Learning goals and competencies",2017,"Biochemistry and Molecular Biology Education","45","1",,"69","75",,2,10.1002/bmb.20991,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980332252&doi=10.1002%2fbmb.20991&partnerID=40&md5=36568abe4fc6049b6072163e7ae360ea","A thorough understanding of the molecular biosciences requires the ability to visualize and manipulate molecules in order to interpret results or to generate hypotheses. While many instructors in biochemistry and molecular biology use visual representations, few indicate that they explicitly teach visual literacy. One reason is the need for a list of core content and competencies to guide a more deliberate instruction in visual literacy. We offer here the second stage in the development of one such resource for biomolecular three-dimensional visual literacy. We present this work with the goal of building a community for online resource development and use. In the first stage, overarching themes were identified and submitted to the biosciences community for comment: atomic geometry; alternate renderings; construction/annotation; het group recognition; molecular dynamics; molecular interactions; monomer recognition; symmetry/asymmetry recognition; structure-function relationships; structural model skepticism; and topology and connectivity. Herein, the overarching themes have been expanded to include a 12th theme (macromolecular assemblies), 27 learning goals, and more than 200 corresponding objectives, many of which cut across multiple overarching themes. The learning goals and objectives offered here provide educators with a framework on which to map the use of molecular visualization in their classrooms. In addition, the framework may also be used by biochemistry and molecular biology educators to identify gaps in coverage and drive the creation of new activities to improve visual literacy. This work represents the first attempt, to our knowledge, to catalog a comprehensive list of explicit learning goals and objectives in visual literacy. © 2016 by The International Union of Biochemistry and Molecular Biology, 45(1):69–75, 2017. © 2016 The Authors Biochemistry and Molecular Biology Education published by Wiley Periodicals, Inc. on behalf of International Union of Biochemistry and Molecular Biology",Article,Scopus,2-s2.0-84980332252
"Esparza-Morales I., Tarango J., Machin-Mastromatteo J.D.","Iconic reading values in higher education students: Identification and development of proposals [Valores de lectura icónica en estudiantes de educación superior: Identificación y desarrollo de propuestas]",2017,"Revista General de Informacion y Documentacion","27","2",,"341","364",,,10.5209/RGID.58207,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038355119&doi=10.5209%2fRGID.58207&partnerID=40&md5=b6c66ab5e34907021a9ef599f5d75ec7","Iconic reading is understood as the appreciation of an image and its association with reality, through a process of recognition carried out by the recipient. The purpose of this article is to know if Mexican marketing students have the skills to develop reading comprehension competence based on the use of iconic text. A survey of basic, intermediate, and disciplinary competencies was applied to 72 students of this professional discipline at a public higher education institution in the state of Chihuahua, Mexico. It was found that they do not have the necessary visual literacy skills given their academic and disciplinary level. Therefore, an educational intervention design is proposed (functional in the curricular or extracurricular modality), with the intention of offering an option that allows students to acquire the competences required for their professional training.",Article,Scopus,2-s2.0-85038355119
"Ariprahara G., Maulina R.","The visual strategic of government health warning system with public services advertisement at cigarette packaging in Indonesia",2017,"Journal of Engineering and Applied Sciences","12","2",,"430","438",,,10.3923/jeasci.2017.171.175,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017139478&doi=10.3923%2fjeasci.2017.171.175&partnerID=40&md5=2360ffb794a96fa6e5632cd944907114","The inclusion of health warning on cigarette packages in Indonesia has changed several times. The government's message is delivered using both verbal and non verbal language. The ministry of health require the inclusion of health warning in the form of pictures and writing on the packaging of tobacco products. This study examines the health warning on cigarette packs. Research using qualitative approach through visual analysis. Performed also the dissemination of a questionnaire and interviews to find out the public perception over the health warning. The results of this research are expected to be input in desingning the horror-themed messages on verbal communication (visual) and as additional material how to ""read"" the images. © Medwell Journals, 2017.",Article,Scopus,2-s2.0-85017139478
"Bel Martínez J.C.","Picture and history textbooks in primary education: A comparative study through a qualitative analysis [Imagen y libros de texto de Historia en Educación Primaria: Estudio comparativo a partir de un análisis cualitativo]",2017,"Revista de Educacion","2017","377",,"82","110",,,10.4438/1988-592X-RE-2017-377-354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022327874&doi=10.4438%2f1988-592X-RE-2017-377-354&partnerID=40&md5=21ee0117b87d0acaeff046c096ef7b1b","The aim of this paper is to investigate the possibilities of developing the capacity for historical thinking and visual literacy offered by Spanish textbooks from the 5thand 6thyears of primary education based on activities which make use of graphic historical sources. Figurative images and the activities making use of them were selected from the history units contained in 27 school textbooks (from the subjects of Conocimiento del Medio, a subject encompassing social and natural sciences, and social sciences) from two specific periods: those in which the educational laws known as the ‘Ley Orgánica General del Sistema Educativo’ (LOGSE, 1991-2006) and the ‘Ley Orgánica para la Mejora de la Calidad Educativa’ (LOMCE, 2013- present) were in force. The teaching materials studied were published by the most widely-used publishers in each of the stages studied in the geographic area of the Autonomous Community of Valencia. The analysis was carried out via a research method combining quantitative (ex post facto) and qualitative (based on conceptual categories) methods applied to four study criteria: the presence and use of figurative images, the quantity and kind of images used for the activities, the level of cognitive complexity of the activities and the relationships of significance between the images and the text contained in the books. The results obtained demonstrate some clear differences between the textbooks of the different periods studied, combined with an excessive proportion of purely descriptive and acritical activities, which do not promote the development of the aforementioned capacities. This paper also shows that certain educational routines and traditions, such as the disciplinary code of school history teaching are still present and reflected in practice, thus having a negative influence on educational proposals and impeding the advancement of educational innovation in the field of history teaching. © 2017, Ministry Education and Science. All rights reserved.",Article,Scopus,2-s2.0-85022327874
"Mills K.A., Unsworth L.","iPad Animations: Powerful Multimodal Practices for Adolescent Literacy and Emotional Language",2017,"Journal of Adolescent and Adult Literacy",,,,"","",,,10.1002/jaal.717,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033686195&doi=10.1002%2fjaal.717&partnerID=40&md5=f96b38b1f77728f37a893d5a7dff5987","In an age of mobile technologies, digital animation creation can be an important tool for teaching adolescents how to communicate emotions multimodally. This article draws on appraisal theory and original research to illustrate the power of digital animation for multimodal literacy learning. Students from a culturally diverse cohort were taught how to interpret emotions in animated films and produced 2-D cartoon animations using drawings with an iPad application and stylus. The findings show that impassioned multimodal communication is enhanced by knowledge of how feelings produce different facial expressions, gestures, body movements, and physiological changes in characters that are often exaggerated to powerful effect in animations. This includes an ability to invoke different intensities of emotions. The research has significant implications for engaging adolescents in the multimodal communication of emotions and feelings through vocabulary, images, and body language. © 2017 International Literacy Association.",Article in Press,Scopus,2-s2.0-85033686195
"Abrams S.S., Rowsell J.","Emotionally Crafted Experiences: Layering Literacies in Minecraft",2017,"Reading Teacher","70","4",,"501","506",,1,10.1002/trtr.1515,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007443257&doi=10.1002%2ftrtr.1515&partnerID=40&md5=ff6dec52b1daa5c5faea89301d084d74","Digital literacies play a foundational role in the rhythm and pattern of our lives, yet debates continue about how to harness them for educational purposes. In an effort to humanize digital literacies, this column provides a venue for research and practical applications that depict technology use as part of the fabric of being human. This particular article, “Emotionally Crafted Experiences: Layering Literacies in Minecraft,” focuses on the ways that emotion transcends the screen and helps students layer their meaning making. As such, the Digital Literacy column will help educators reconceptualize the ways that children learn with technology, media, and new communication systems. It honors educator success stories and burning questions and issues, and it reimagines literacy futures. © 2016 International Literacy Association",Article,Scopus,2-s2.0-85007443257
